book_name,hebrew_name,hebrew_transliteration,hebrew_meaning,greek_name,greek_transliteration,greek_meaning,chapter_count,verse_count,book_id,christian_sequence,hebrew_sequence,short_name,usx_code,writer_id,written_start_date,written_end_date,written_location_id
Genesis,בּראשׁית,Bereshit,In the Beginning,Γένεσις,Genesis,Beginning,50,1533,1,1,1,Gen,GEN,Moses_1,-1476,,
Exodus,שׁמוֹת,Shemot,Names,Ἔξοδος,Exodus,Departure,40,1213,2,2,2,Exod,EXO,Moses_1,-1475,,
Leviticus,ויקרא,Vayikra,And He Called,Λευϊτικόν,Leuitikon,Of the Levites,27,859,3,3,3,Lev,LEV,Moses_1,-1475,,
Numbers,בּמדבּר,B'midbar,In the Desert,Ἀριθμοί,Arithmoi,Numbers,36,1288,4,4,4,Num,NUM,Moses_1,-1475,,
Deuteronomy,דברים,Devarim,Words,Δευτερονόμιον,Deuteronomion,Second Law,34,959,5,5,5,Deut,DEU,Moses_1,-1475,,
Joshua,יהוֹשׁוּע,Yehoshua,Yah Saves,Ἰησοῦς Nαυῆ,Iēsous Nauē,The Prophet Jesus,24,658,6,6,6,Josh,JOS,Joshua_1,-1400,,
Judges,שׁוֹףּטים,Shoftim,Judges,Κριταί,Kritai,Judges,21,618,7,7,7,Judg,JDG,,,,
Ruth,רוּת,Rut,Companion,Ῥούθ,Routh,,4,85,8,8,31,Ruth,RUT,,,,
1 Samuel,שׁמוּאל א,Shmuel Aleph,Heard by God - One,Βασιλειῶν Αʹ[b],1 Basileiōn,1 Kings [1 Samuel],31,810,9,9,8,1Sam,1SA,,,,
2 Samuel,שׁמוּאל בּ,Shmuel Bet,Heard by God - Two,Βασιλειῶν Βʹ,2 Basileiōn,2 Kings [2 Samuel],24,695,10,10,9,2Sam,2SA,,,,
1 Kings,מלכים א,Malachim - Aleph,Kings - One,Βασιλειῶν Γʹ,3 Basileiōn,3 Kings [1 Kings],22,816,11,11,10,1Kgs,1KI,,,,
2 Kings,מלכים בּ,Malachim - Bet,Kings - Two,Βασιλειῶν Δʹ,4 Basileiōn,4 Kings [2 Kings],25,719,12,12,11,2Kgs,2KI,,,,
1 Chronicles,דברי הימים א,Divrei Hayamim Alef,Book of Days - One,Παραλειπομένων Αʹ,1 Paraleipomenōn,,29,942,13,13,38,1Chr,1CH,,,,
2 Chronicles,דברי הימים בּ,Divrei Hayamim Bet,Book of Days - Two,Παραλειπομένων Βʹ,2 Paraleipomenōn,,36,822,14,14,39,2Chr,2CH,,,,
Ezra,עזרא,Etzra,Helper,Ἔσδρας Αʹ,1 Esdras,,10,280,15,15,36,Ezra,EZR,,,,
Nehemiah,נחמיה,Nechamyah,Yah Comforts,Ἔσδρας Βʹ,2 Esdras,,13,406,16,16,37,Neh,NEH,,,,
Esther,אסתר,Ester,Star,Ἐσθήρ,Esthēr,,10,167,17,17,34,Esth,EST,,,,
Job,איוֹב,Yov,Persecuted,Ἰώβ,Iōb,,42,1070,18,18,29,Job,JOB,,,,
Psalms,תהלים,Tehilim,Praises,Ψαλμοί,Psalmoi,,150,2461,19,19,27,Ps,PSA,,,,
Proverbs,משׁלי,Mishlei,Parables,Παροιμίαι,Paroimiai,,31,915,20,20,28,Prov,PRO,,,,
Ecclesiastes,קהלת,Qohelet,[Words of the] Preacher,Ἐκκλησιαστής,Ekklēsiastēs,,12,222,21,21,33,Eccl,ECC,,,,
